query1:  Execution Time: 3709.417 ms
query2:  Execution Time: ms
query3:  Execution Time: ms
query4:  Execution Time: ms
query5:  Execution Time: ms
query6:  Execution Time: ms
query7:  Execution Time: ms
query8:  Execution Time: ms
query9:  Execution Time: ms
query10:  Execution Time: ms
query11:  Execution Time: ms
query12:  Execution Time: ms
query13:  Execution Time: ms
query14:  Execution Time: ms
query15:  Execution Time: ms
query16:  Execution Time: ms
query17:  Execution Time: ms
query18:  Execution Time: ms
query19:  Execution Time: ms
query20:  Execution Time: ms
query21:  Execution Time: ms
query22:  Execution Time: ms
