query1:  Execution Time: 2770.651 ms
query2:  Execution Time: 73169.077 ms
query3:  Execution Time: 689.720 ms
query4:  Execution Time: 995.366 ms
query5:  Execution Time: 638.838 ms
query6:  Execution Time: 329.691 ms
query7:  Execution Time: 639.143 ms
query8:  Execution Time: 731.386 ms
query9:  Execution Time: 1418.603 ms
query10:  Execution Time: 760.795 ms
query11:  Execution Time: 156.178 ms
query12:  Execution Time: 596.938 ms
query13:  Execution Time: 770.885 ms
query14:  Execution Time: 331.413 ms
query15:  Execution Time: 803.154 ms
query16:  Execution Time: 424.460 ms
query18:  Execution Time: 5414.069 ms
query19:  Execution Time: 532.521 ms
query22:  Execution Time: 265.333 ms
